staff,master_ai_id,activity_number,permit_no,type_action_code,owner,company_name,received_date,incomplete_date,complete_date,issue_due_date,issue_revised_date,issue_date,deny_date,withdraw_date,close_date
Roslyn Higgin,39061,PRN20190001,8392,Notice of Intent ,DJR Operating LLC - NM,DJR-Crow Canyon Unit N19-2408,6/28/2019 15:15,,,7/28/2019 0:00,7/28/2019 0:00,7/12/2019 15:14,,,
Marvin Mascarenas,39061,PRN20200001,8392R1,Notice of Intent ,DJR Operating LLC - NM,DJR - Crow Canyon Unit N19-2408,7/13/2020 11:54,,,8/12/2020 0:00,8/12/2020 0:00,8/5/2020 12:45,,,
Deepika Saikrishnan,39062,PRN20190001,8395,GCP - Oil and Gas,XTO Energy Inc,XTO - Poker Lake Unit 28 Big Sinks West Tank Battery,7/1/2019 10:44,,,7/31/2019 0:00,7/31/2019 0:00,7/30/2019 16:47,,,
Leslee Kimbrell,39062,PRN20200001,8395M1,GCP - Oil and Gas Revision,XTO Energy Inc,XTO - Poker Lake Unit 28 Big Sinks West Tank Battery,3/26/2020 9:54,,,4/25/2020 0:00,4/25/2020 0:00,4/8/2020 11:54,,,
Kathleen Primm,39063,PRN20190001,8396,Regular-New ,James Hamilton Construction Co,JHCC - Dark Canyon Aggregate Facility,6/27/2019 11:56,,7/26/2019 15:31,1/22/2020 0:00,1/22/2020 0:00,1/22/2020 15:13,,,
Maria Prentice,39065,PRN20190001,8401,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Red Hills West 21 W1AP Fed Com 2H Battery,7/3/2019 11:12,,,8/2/2019 0:00,8/2/2019 0:00,8/2/2019 15:36,,,
Maria Prentice,39066,PRN20190001,8400,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Skynyrd 2 W0CN Fee 1H MT Battery,7/3/2019 11:22,,,8/2/2019 0:00,8/2/2019 0:00,8/2/2019 15:22,,,
Danny Valenzuela,39067,PRN20190001,8399,Notice of Intent ,Mewbourne Oil Company,Mewbourne- Loco Hills 1 2 B2AP Fed Com 1H MT and Gemini 36 35 B2PO Fed Com 1H Oil MT Battery,7/3/2019 11:32,,,8/2/2019 0:00,8/2/2019 0:00,7/15/2019 11:36,,,
Julie Kuhn,39068,PRN20190001,8398,GCP - Oil and Gas,XTO Energy Inc,XTO - Poker Lake Unit 21 Brushy Draw West Tank Battery,7/3/2019 13:14,,,8/2/2019 0:00,8/2/2019 0:00,8/1/2019 9:52,,,
Leslee Kimbrell,39068,PRN20200001,8398M1,GCP - Oil and Gas Revision,XTO Energy Inc,XTO - Poker Lake Unit 21 Brushy Draw West Tank Battery,3/26/2020 10:23,,,4/25/2020 0:00,4/25/2020 0:00,4/8/2020 13:58,,,
Vanessa Springer,39069,PRN20190001,8397,GCP - Oil and Gas,XTO Energy Inc,XTO - Poker Lake Unit 13 Dog Town Draw East Tank Battery,7/3/2019 13:25,,,8/2/2019 0:00,8/2/2019 0:00,7/17/2019 8:12,,,
Joseph Mashburn,39070,PRN20190001,8402,GCP - Oil and Gas,Devon Energy Production Company LP,Devon - Chincoteague 8 CTB 1,7/5/2019 14:27,,,8/4/2019 0:00,8/4/2019 0:00,7/29/2019 14:41,,,
Kathleen Primm,39070,PRN20200001,8402M1,GCP - Oil and Gas Revision,Devon Energy Production Company LP,Devon - Chincoteague 8 CTB 1,2/13/2020 10:08,,,3/14/2020 0:00,3/14/2020 0:00,3/10/2020 12:22,,,
Arianna Espinoza,39071,PRN20190001,8405,GCP - Oil and Gas,"Caza Operating, LLC",Caza - Eagleclaw Federal No 2H Production Facility,7/5/2019 9:34,,,8/4/2019 0:00,8/4/2019 0:00,8/1/2019 9:52,,,
Denise Huff,39072,PRN20190001,8404,GCP - Oil and Gas,"Caza Operating, LLC",Caza - Desert Rose 17-8 Federal No 1H Production Factility,7/5/2019 10:55,,,8/4/2019 0:00,8/4/2019 0:00,8/2/2019 13:37,,,
Asheley Coriz,39073,PRN20190001,8403,GCP - Oil and Gas,Devon Energy Production Company LP,Devon - Grumpy Cat 15 CTB 2,7/19/2019 15:11,,,8/18/2019 0:00,8/18/2019 0:00,8/16/2019 17:47,,,
Allie Fullerton,39074,PRN20200001,8407M1,GCP - Oil and Gas,Kaiser-Francis Oil Company,Kaiser - South Bell Lake Pad 0,5/20/2020 10:40,,,6/19/2020 0:00,6/19/2020 0:00,6/19/2020 13:16,,,
Eric Peters,39074,PRN20190001,8407,Notice of Intent ,Kaiser-Francis Oil Company,Kaiser - South Bell Lake Pad 0,7/9/2019 10:37,,,8/8/2019 0:00,8/8/2019 0:00,7/18/2019 15:38,,,
Kathleen Primm,39075,PRN20200001,8406M1,GCP - Oil and Gas,Kaiser-Francis Oil Company,Kaiser - South Bell Lake Pad 10,5/20/2020 11:14,,,6/19/2020 0:00,6/19/2020 0:00,6/17/2020 11:13,,,
Eric Peters,39075,PRN20190001,8406,Notice of Intent ,Kaiser-Francis Oil Company,Kaiser - South Bell Lake Pad 10,7/9/2019 10:52,,,8/8/2019 0:00,8/8/2019 0:00,7/18/2019 16:40,,,6/17/2020 12:21
Maria Prentice,39076,PRN20190001,8408,Notice of Intent ,Plains Pipeline LP,Plains - Big Eddy Station,7/9/2019 11:02,,,8/8/2019 0:00,8/8/2019 0:00,8/7/2019 14:02,,,
Joseph Mashburn,39077,PRN20200001,8661,Regular-New ,PG Enterprises,PG - Rio Rancho Facility,1/21/2020 11:00,,2/20/2020 10:26,5/20/2020 0:00,5/20/2020 0:00,5/20/2020 17:15,,,
Angela Raso,39078,PRN20190001,8410,Notice of Intent ,Devon Energy Production Company LP,Devon - Lusitano 27 Wellpad 3,7/10/2019 15:19,,,8/9/2019 0:00,8/9/2019 0:00,7/26/2019 15:31,,,
Angela Raso,39079,PRN20190001,8411,Notice of Intent ,Devon Energy Production Company LP,Devon - Bell Lake Wellpad 6,7/10/2019 15:28,,,8/9/2019 0:00,8/9/2019 0:00,7/26/2019 15:34,,,
Todd Sherrill,39080,PRN20190001,8416,GCP - Oil and Gas,EOG Resources Inc - Midland Division,EOG - Fearless 23 Fed Com CTB,7/12/2019 15:45,,,8/11/2019 0:00,8/11/2019 0:00,8/8/2019 9:21,,,
Denise Huff,39081,PRN20190001,8415,GCP - Oil and Gas,EOG Resources Inc - Midland Division,EOG-Dillon 31 Fed Com CTB,7/12/2019 15:57,,,8/11/2019 0:00,8/11/2019 0:00,8/9/2019 9:07,,,
Leslee Kimbrell,39082,PRN20190001,8414,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Fleetwood 36 25 W0ML State Com 1H Oil MT Battery,7/12/2019 16:10,,,8/11/2019 0:00,8/11/2019 0:00,8/9/2019 17:30,,,
Leslee Kimbrell,39083,PRN20190001,8413,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Zeppelin 32 W0LI State Com 1H Oil MT Battery,7/12/2019 16:22,,,8/11/2019 0:00,8/11/2019 0:00,8/9/2019 17:33,,,
Joseph Mashburn,39084,PRN20190001,8412,GCP - Temp Control Minor,XTO Energy Inc,XTO-GCP-TC-8412,7/12/2019 16:49,,,8/11/2019 0:00,8/11/2019 0:00,8/7/2019 18:43,,,
Kathleen Primm,39085,PRN20190001,8417,GCP - Oil and Gas,"BTA Oil Producers, LLC",BTA - Rojo 14-17 Gas Lift Station,7/15/2019 9:45,,,8/14/2019 0:00,8/14/2019 0:00,8/13/2019 12:55,,,
Maria Prentice,39088,PRN20190001,8418,GCP2-New ,Swapp Construction Inc,Swapp - 400TPH Crusher GCP2-8418,7/22/2019 9:05,,,8/21/2019 0:00,8/21/2019 0:00,8/21/2019 10:51,,,
Joseph Mashburn,39089,PRN20190001,8421,GCP - Oil and Gas,EOG Resources Inc - Midland Division,EOG - Taipan Adder 31 State CTB,7/23/2019 16:09,,,8/22/2019 0:00,8/22/2019 0:00,8/20/2019 16:58,,,
Kathleen Primm,39090,PRN20190001,8420,GCP - Oil and Gas,EOG Resources Inc - Midland Division,EOG - Lobo Blanco 9 Fed CTB,7/23/2019 16:24,,,8/22/2019 0:00,8/22/2019 0:00,8/22/2019 11:07,,,
Kathleen Primm,39090,PRN20200001,8420M1,GCP - Oil and Gas Revision,EOG Resources Inc - Midland Division,EOG - Lobo Blanco 9 Fed CTB,2/18/2020 12:35,,,3/19/2020 0:00,3/19/2020 0:00,3/17/2020 15:42,,,
Asheley Coriz,39091,PRN20190001,8419,GCP - Oil and Gas,XTO Energy Inc,XTO - James Ranch Unit DI 11 Tank Battery,7/23/2019 16:35,,,8/22/2019 0:00,8/22/2019 0:00,8/22/2019 17:33,,,
Marvin Mascarenas,39093,PRN20190001,8422,GCP - Oil and Gas,EOG Resources Inc - Midland Division,EOG - Quijote 2 State CTB,7/24/2019 14:32,,,8/23/2019 0:00,8/23/2019 0:00,8/22/2019 13:26,,,
Danny Valenzuela,39095,PRN20190001,8428,Notice of Intent ,COG Operating LLC,COG - Dodd Federal Unit 980H Battery,7/25/2019 11:23,,,8/24/2019 0:00,8/24/2019 0:00,8/14/2019 9:09,,,
Danny Valenzuela,39096,PRN20190001,8427,Notice of Intent ,Cimarex Energy Co of Colorado,Cimarex - Black River 25 Federal 2H,7/25/2019 12:06,,,8/24/2019 0:00,8/24/2019 0:00,8/6/2019 8:04,,,
Allie Fullerton,39096,PRN20190002,8427R1,Notice of Intent ,Cimarex Energy Co of Colorado,Cimarex - Black River 25 Federal 2H,12/16/2019 10:00,,,1/15/2020 0:00,1/15/2020 0:00,1/13/2020 11:45,,,
Maria Prentice,39097,PRN20190001,8426,Notice of Intent ,Devon Energy Production Company LP,Devon - Spud Muffin 31 Wellpad 1,7/25/2019 14:58,,,8/24/2019 0:00,8/24/2019 0:00,8/23/2019 10:10,,,
Maria Prentice,39098,PRN20190001,8431,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Delaware Ranch 11 14 Fed Com 1H Battery,7/25/2019 15:11,,,8/24/2019 0:00,8/24/2019 0:00,8/23/2019 9:40,,,
Maria Prentice,39099,PRN20190001,8430,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Prince 31 W0DA Fed Com 1H Oil MT Battery,7/25/2019 15:11,,,8/24/2019 0:00,8/24/2019 0:00,8/23/2019 10:07,,,
Eric Peters,39100,PRN20190001,8432,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Virgo 24 23 B2AD Fed Com 1H Oil MT Battery,7/25/2019 15:20,,,8/24/2019 0:00,8/24/2019 0:00,8/19/2019 9:41,,,
Claudia Gallegos,39100,PRN20200001,8432R1,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Virgo 24 23 B2AD Fed Com 1H Oil MT Battery,3/4/2020 9:37,,,4/3/2020 0:00,4/3/2020 0:00,4/3/2020 9:41,,,
Maria Prentice,39101,PRN20190001,8429,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Antelope 9 B2MD State Com 1H oil MT Battery,7/25/2019 15:27,,,8/24/2019 15:27,8/24/2019 15:27,8/23/2019 10:02,,,
Eric Peters,39102,PRN20190001,8433,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Glock 17 16 B2DA Fed Com 2H Battery,7/25/2019 15:29,,,8/24/2019 0:00,8/24/2019 0:00,8/19/2019 10:25,,,
Joseph Mashburn,39103,PRN20190001,8424,GCP - Temp Control Minor,XTO Energy Inc,XTO - GCP-TC-8424,7/25/2019 15:45,,,8/24/2019 0:00,8/24/2019 0:00,8/22/2019 9:28,,,
Asheley Coriz,39104,PRN20190001,8423,GCP - Temp Control Minor,XTO Energy Inc,XTO - GCP-TC-8423,7/25/2019 15:53,,,8/24/2019 0:00,8/24/2019 0:00,8/23/2019 8:44,,,
Todd Sherrill,39105,PRN20190001,8425,GCP - Temp Control Minor,XTO Energy Inc,XTO - GCP-TC-8425,7/25/2019 16:06,,,8/24/2019 0:00,8/24/2019 0:00,8/22/2019 9:45,,,
Danny Valenzuela,39107,PRN20190001,8435,Notice of Intent ,Apache Corporation,Apache - Hummingbird 12,7/29/2019 14:45,,,8/28/2019 0:00,8/28/2019 0:00,8/13/2019 11:17,,,
Todd Sherrill,39108,PRN20190001,8436,GCP - Oil and Gas,"Mark West Tornado Gas Plant, L.L.C.",MarkWest - Red Hills Compressor Station,7/29/2019 15:09,,,8/28/2019 0:00,8/28/2019 0:00,8/28/2019 9:16,,,
Deepika Saikrishnan,39108,PRN20200001,8436M1,GCP - Oil and Gas Revision,"Mark West Tornado Gas Plant, L.L.C.",MarkWest - Red Hills Compressor Station,2/18/2020 10:09,,,3/19/2020 0:00,3/19/2020 0:00,3/19/2020 16:20,,,
Arianna Espinoza,39109,PRN20200001,8434R1,Administrative Revision ,Centurion Materials Inc,Centurion - 500TPH Crusher GCP2-8434,2/27/2020 16:57,,,3/28/2020 0:00,3/28/2020 0:00,,,,3/17/2020 14:09
Denise Huff,39109,PRN20190001,8434,GCP2-New ,Centurion Materials Inc,Centurion - 500TPH Crusher GCP2-8434,7/29/2019 15:38,,,8/28/2019 0:00,8/28/2019 0:00,8/27/2019 14:04,,,3/17/2020 14:10
Kathleen Primm,39110,PRN20190001,8438,GCP - Oil and Gas,Devon Energy Production Company LP,Devon - Lone Tree Draw 14 CTB 1,8/19/2019 13:31,,,9/18/2019 0:00,9/18/2019 0:00,9/10/2019 11:27,,,
Todd Sherrill,39111,PRN20190001,8437,GCP - Oil and Gas,XTO Energy Inc,XTO - Poker Lake Unit 29 Big Sinks West Tank Battery,7/31/2019 15:36,,,8/30/2019 0:00,8/30/2019 0:00,8/23/2019 14:52,,,
Maria Prentice,39112,PRN20190001,8440,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Sand Chute 4 9 B2AP Fed Com 1H Battery,8/1/2019 15:12,,,8/31/2019 0:00,8/31/2019 0:00,8/27/2019 12:04,,,
Maria Prentice,39113,PRN20190001,8439,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Loving Townsite 21 W2PA Fee 1H Oil MT Battery,8/1/2019 15:23,,,8/31/2019 0:00,8/31/2019 0:00,8/27/2019 11:59,,,
Todd Sherrill,39117,PRN20200001,8645,GCP - Oil and Gas,Marathon Oil Permian LLC,Marathon - Mammoth 1 Fed Com CTB,1/9/2020 14:17,,,2/8/2020 0:00,2/8/2020 0:00,2/6/2020 11:43,,,
Eric Peters,39118,PRN20190001,8441,Notice of Intent ,Apache Corporation,Apache - Hummingbird South Fed Com,8/5/2019 10:18,,,9/4/2019 0:00,9/4/2019 0:00,8/28/2019 13:11,,,
Asheley Coriz,39121,PRN20190001,8442,Streamline Level 1-New ,Hilcorp Energy Company,Hilcorp - EPNG Com A 2A & Hilcorp - EPNG Com A 2A & A 300S Wellsites,6/11/2019 15:23,,7/11/2019 11:21,8/10/2019 0:00,8/10/2019 0:00,8/9/2019 18:46,,,
Danny Valenzuela,39122,PRN20190001,8443,Notice of Intent ,Devon Energy Production Company LP,Devon - Todd Apache 1-1 Wellpad 2,8/8/2019 10:01,,,9/7/2019 0:00,9/7/2019 0:00,8/16/2019 10:41,,,
Maria Prentice,39123,PRN20190001,8444,Notice of Intent ,Cimarex Energy Co of Colorado,Cimarex - Congressional 28-33 Fed Com 1H,8/8/2019 10:16,,,9/7/2019 0:00,9/7/2019 0:00,9/5/2019 11:56,,,
Maria Prentice,39124,PRN20190001,8445,Notice of Intent ,XTO Energy Inc,XTO - Bubbles 22-15 Fed Wellpad,8/8/2019 10:37,,,9/7/2019 0:00,9/7/2019 0:00,9/5/2019 14:45,,,
Joseph Mashburn,39125,PRN20190001,8446,GCP - Temp Control Minor,XTO Energy Inc,XTO-GCP-TC-8446,8/8/2019 11:45,,,9/7/2019 0:00,9/7/2019 0:00,8/26/2019 14:39,,,
Arianna Espinoza,39126,PRN20190001,8447,GCP5 - New,Big Bend Concrete Company,Big Bend -Concrete plant-GCP5-8447,8/8/2019 11:37,,,9/7/2019 0:00,9/7/2019 0:00,8/26/2019 7:38,,,
Maria Prentice,39130,PRN20190001,8448,Notice of Intent ,Apache Corporation,Apache - Washington 33 State #56 Battery,8/12/2019 10:00,9/10/2019 15:32,,9/11/2019 0:00,9/11/2019 0:00,9/13/2019 11:03,,,
Leslee Kimbrell,39131,PRN20190001,8449,Notice of Intent ,Matador Production Company,San Mateo - Shinnery Oaks SWD Facility No2,8/12/2019 10:51,,,9/11/2019 0:00,9/11/2019 0:00,9/10/2019 18:42,,,
Leslee Kimbrell,39131,PRN20190002,8449R1,Notice of Intent ,Matador Production Company,San Mateo - Shinnery Oaks SWD Facility No2,12/13/2019 14:30,,,1/12/2020 0:00,1/12/2020 0:00,1/8/2020 12:52,,,
Angela Raso,39132,PRN20190001,8450,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Night Ranger 28 W2AP Fee 1H Oil MT Battery,8/12/2019 11:01,,,9/11/2019 0:00,9/11/2019 0:00,8/26/2019 9:42,,,
Danny Valenzuela,39133,PRN20190001,8451,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Charolais 28 21 B2NC State Com 1H Battery,8/12/2019 11:14,,,9/11/2019 0:00,9/11/2019 0:00,8/19/2019 14:37,,,
Todd Sherrill,39135,PRN20190001,8454,Notice of Intent ,DJR Operating LLC - NM,DJR - Venado Canyon Unit A11-2206,8/16/2019 13:40,,,9/15/2019 0:00,9/15/2019 0:00,9/6/2019 10:09,,,
Allie Fullerton,39135,PRN20190002,8454M1,Notice of Intent ,DJR Operating LLC - NM,DJR - Venado Canyon Unit A11-2206,12/16/2019 11:27,,,1/15/2020 0:00,1/15/2020 0:00,12/16/2019 11:27,,,
Angela Raso,39136,PRN20190001,8453,Notice of Intent ,"BTA Oil Producers, LLC",BTA - Rojo 7811 22 Fed Com 14H Battery,8/15/2019 14:17,,,9/14/2019 0:00,9/14/2019 0:00,9/10/2019 9:39,,,
Maria Prentice,39137,PRN20190001,8452,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Sumideros 12 W1PA Fed Com 1H Oil MT Battery,8/15/2019 15:58,,,9/14/2019 0:00,9/14/2019 0:00,9/11/2019 14:10,,,
Angela Raso,39138,PRN20190001,8455,Notice of Intent ,DJR Operating LLC - NM,DJR - Blanco Wash Unit 124A-2409,8/16/2019 16:34,,,9/15/2019 0:00,9/15/2019 0:00,9/13/2019 9:16,,,
Kathleen Primm,39138,PRN20200001,8455R1,Notice of Intent ,DJR Operating LLC - NM,DJR - Blanco Wash Unit 124A-2409,8/10/2020 9:58,,,9/9/2020 0:00,9/9/2020 0:00,9/9/2020 13:03,,,
Asheley Coriz,39138,PRN20200002,8455R2,Notice of Intent ,DJR Operating LLC - NM,DJR - Blanco Wash Unit I24A-2409,9/30/2020 12:43,,,10/30/2020 0:00,10/30/2020 0:00,10/30/2020 15:41,,,
Eric Peters,39139,PRN20190001,8456,Notice of Intent ,Apache Corporation,Apache Palmillo 14 ST Com,8/19/2019 11:59,,,9/18/2019 0:00,9/18/2019 0:00,8/29/2019 11:08,,,
Leslee Kimbrell,39140,PRN20190001,8457,GCP - Oil and Gas,Devon Energy Production Company LP,Devon - Arena Roja 15 CTB 2,8/21/2019 7:59,,,9/20/2019 0:00,9/20/2019 0:00,9/20/2019 8:00,,,
Asheley Coriz,39141,PRN20190001,8458,GCP - Oil and Gas,OXY USA Inc ,OXY - Salt Flats Gas Sales Compressor Station,8/21/2019 15:18,,,9/20/2019 0:00,9/20/2019 0:00,9/20/2019 17:40,,,
Joseph Mashburn,39141,PRN20200001,8458M1,GCP - Oil and Gas Revision,OXY USA Inc ,OXY - Salt Flats Gas Sales Compressor Station,6/5/2020 11:47,,,7/5/2020 0:00,7/5/2020 0:00,7/1/2020 8:33,,,
Arianna Espinoza,39143,PRN20190001,8460,GCP6 - New,Centennial Resource Development Inc,Centennial - Asadero 3 State Com CTB 1,8/23/2019 15:05,,,9/22/2019 0:00,9/22/2019 0:00,9/20/2019 8:36,,,
Arianna Espinoza,39143,PRN20190002,8460,Notice of Intent ,Centennial Resource Development Inc,Centennial - Asadero 3 State Com CTB 1,8/26/2019 14:46,,,9/25/2019 0:00,9/25/2019 0:00,9/20/2019 8:32,,,
Todd Sherrill,39143,PRN20200001,8460R1,Notice of Intent ,Centennial Resource Development Inc,Centennial - Asadero 3 State Com CTB 1,10/14/2020 16:25,,,11/13/2020 0:00,11/13/2020 0:00,11/12/2020 13:54,,,
Deepika Saikrishnan,39144,PRN20190001,8461,GCP5 - New,Van Eaton Ready Mix Inc.,Van Eaton - Concrete Plant - GCP5-8461,8/26/2019 17:11,,,9/25/2019 0:00,9/25/2019 0:00,9/23/2019 15:44,,,
Asheley Coriz,39145,PRN20190001,8459,GCP - Oil and Gas,Devon Energy Production Company LP,Devon - Green Wave 20 CTB 3,8/23/2019 9:21,,,9/22/2019 0:00,9/22/2019 0:00,9/20/2019 17:52,,,
Deepika Saikrishnan,39146,PRN20190001,8462,Notice of Intent ,COG Operating LLC,COG - Howitzer Federal Com 12 A CTB,8/26/2019 11:27,,,9/25/2019 0:00,9/25/2019 0:00,9/20/2019 14:51,,,
Arianna Espinoza,39147,PRN20190001,8465,GCP2-New ,AG Sand and Gravel,AG Sand - Rock Crusher - GCP2-8465,8/27/2019 15:26,,,9/26/2019 0:00,9/26/2019 0:00,9/26/2019 8:42,,,
Asheley Coriz,39148,PRN20190001,8464,GCP - Oil and Gas,EOG Resources Inc - Midland Division,EOG - Milky Way Compressor Station,8/27/2019 15:27,,,9/26/2019 0:00,9/26/2019 0:00,9/26/2019 18:22,,,
Deepika Saikrishnan,39149,PRN20190001,8467,Notice of Intent ,DJR Operating LLC - NM,DJR - Venado Canyon Unit L12-2206,8/28/2019 11:11,,,9/27/2019 0:00,9/27/2019 0:00,9/26/2019 16:14,,,
Allie Fullerton,39150,PRN20190001,8466,Notice of Intent ,Plains Pipeline LP,Plains - BTA Rojo 18H-21H Station,8/28/2019 11:22,,,9/27/2019 0:00,9/27/2019 0:00,9/10/2019 12:03,,,
Arianna Espinoza,39151,PRN20190001,8468,GCP - Oil and Gas,XTO Energy Inc,XTO - Mesquite CDP,8/28/2019 11:33,,,9/27/2019 0:00,9/27/2019 0:00,9/26/2019 14:21,,,
Arianna Espinoza,39152,PRN20190001,8470,GCP2-New ,Green Arrow Excavation & Septic Service,Green Arrow - 600 TPH Crusher GCP2 - 8470,8/29/2019 15:45,,,9/28/2019 0:00,9/28/2019 0:00,9/16/2019 8:35,,,
Deepika Saikrishnan,39152,PRN20200001,RE01 8470,Relocation,Green Arrow Excavation & Septic Service,Green Arrow - 600 TPH Crusher GCP2 - 8470,6/17/2020 14:34,,,7/2/2020 0:00,7/2/2020 0:00,6/29/2020 14:22,,,
Todd Sherrill,39153,PRN20190001,8469,GCP - Oil and Gas,Lucid Energy Delaware LLC,Lucid - Harrier Compressor Station,8/29/2019 16:35,,,9/28/2019 0:00,9/28/2019 0:00,9/26/2019 11:55,,,
Arianna Espinoza,39153,PRN20200001,8469M1,GCP - Oil and Gas Revision,Lucid Energy Delaware LLC,Lucid - Harrier Compressor Station,5/13/2020 16:44,,,6/12/2020 0:00,6/12/2020 0:00,6/10/2020 10:30,,,
Kathleen Primm,39156,PRN20200001,8471M1,GCP - Oil and Gas,Matador Production Company,Matador - Verna Rae Fed Com Facility,11/25/2020 14:06,,,12/25/2020 0:00,12/25/2020 0:00,12/17/2020 15:52,,,
Eric Peters,39156,PRN20190001,8471,Notice of Intent ,Matador Production Company,Matador - Verna Rae Fed Com Facility,9/3/2019 15:41,,,10/3/2019 0:00,10/3/2019 0:00,9/20/2019 15:04,,,12/17/2020 14:31
Angela Raso,39157,PRN20190001,8473,Notice of Intent ,"Legacy Reserves Operating, LP",Legacy Reserves - South Justis Unit,9/4/2019 10:04,,,10/4/2019 0:00,10/4/2019 0:00,9/26/2019 8:50,,,
Angela Raso,39158,PRN20190001,8474,Notice of Intent ,"CP Energy, LLC",CP Energy - Hackberry Truck Station,9/4/2019 10:23,,,10/4/2019 0:00,10/4/2019 0:00,10/2/2019 14:01,,,
Eric Peters,39159,PRN20190001,8472,Notice of Intent ,OXY USA Inc ,OXY - Platinum MDP 34-3 Federal Com,9/4/2019 11:08,,,10/4/2019 0:00,10/4/2019 0:00,9/23/2019 16:27,,,
Tasha Burns,39160,PRN20190001,8476,Notice of Intent ,COG Operating LLC,COG - Van Gogh Fee 101H Battery,9/5/2019 11:24,,,10/5/2019 0:00,10/5/2019 0:00,10/4/2019 9:09,,,
Allie Fullerton,39161,PRN20190001,8475,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Fuller 13 24 Battery,9/5/2019 11:45,,,10/5/2019 0:00,10/5/2019 0:00,9/18/2019 10:27,,,
Allie Fullerton,39162,PRN20190001,8477,GCP - Oil and Gas,Devon Energy Production Company LP,Devon - Jayhawk 7 CTB 3,9/6/2019 8:58,,,10/6/2019 0:00,10/6/2019 0:00,10/4/2019 12:17,,,
Marvin Mascarenas,39162,PRN20200001,8477M1,GCP - Oil and Gas Revision,Devon Energy Production Company LP,Devon - Jayhawk 7 CTB 3,1/9/2020 15:01,,,2/8/2020 0:00,2/8/2020 0:00,2/6/2020 13:42,,,
Allie Fullerton,39163,PRN20190001,8478,GCP - Oil and Gas,Devon Energy Production Company LP,Devon - Jayhawk 6 CTB 2,9/6/2019 9:30,,,10/6/2019 0:00,10/6/2019 0:00,10/2/2019 10:04,,,
Arianna Espinoza,39163,PRN20190002,8478M1,GCP - Oil and Gas Revision,Devon Energy Production Company LP,Devon - Jayhawk 6 CTB 2,10/11/2019 16:56,,,11/10/2019 0:00,11/10/2019 0:00,10/30/2019 9:38,,,
Julie Kuhn,39164,PRN20190001,8482,GCP - Oil and Gas,"San Mateo Midstream II, LLC",San Mateo - Stebbins Compressor Station,9/9/2019 14:34,,,10/9/2019 0:00,10/9/2019 0:00,10/9/2019 15:04,,,
Allie Fullerton,39165,PRN20190001,8480,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Kansas 21 28 W0LM Fed 2H Battery,9/9/2019 15:00,,,10/9/2019 0:00,10/9/2019 0:00,9/19/2019 13:45,,,
Marvin Mascarenas,39165,PRN20200001,8480R1,Notice of Intent ,Mewbourne Oil Company,Mewbourne - Kansas 21 28 W0LM Fed 2H Battery,11/9/2020 12:43,,,12/9/2020 0:00,12/9/2020 0:00,12/9/2020 15:23,,,
Leslee Kimbrell,39166,PRN20190001,8481,Notice of Intent ,Apache Corporation,Apache - AAO Fed South Battery,9/9/2019 15:32,,,10/9/2019 0:00,10/9/2019 0:00,10/8/2019 8:53,,,
Marvin Mascarenas,39167,PRN20190001,8483,Streamline Level 1-New ,Hilcorp Energy Company,Hilcorp - Allison 110H/152H CDP,9/9/2019 16:53,10/9/2019 14:46,11/13/2019 8:48,12/13/2019 0:00,12/13/2019 0:00,12/11/2019 14:30,,,
Vanessa Springer,39168,PRN20190001,8484,GCP - Oil and Gas,Marathon Oil Permian LLC,Marathon - Southern Comfort 36 State Com 7H-8H-4H,9/10/2019 10:52,,,10/10/2019 0:00,10/10/2019 0:00,9/20/2019 13:38,,,
Asheley Coriz,39168,PRN20200001,8484M1,GCP - Oil and Gas Revision,Marathon Oil Permian LLC,Marathon - Southern Comfort 36 State Com 7H-8H-4H,2/17/2020 14:04,,,3/18/2020 0:00,3/18/2020 0:00,3/18/2020 17:49,,,
Allie Fullerton,39169,PRN20190001,8479,No Permit Required,Clines Corners Wind Farm LLC,Clines Corners Wind Farm,9/6/2019 14:29,,,,,9/25/2019 10:34,,,
Arianna Espinoza,39170,PRN20190001,8487,Notice of Intent ,Cimarex Energy Co of Colorado,Cimarex - Cascade 28 Federal 85H-86H Facility,9/11/2019 13:13,,,10/11/2019 0:00,10/11/2019 0:00,10/3/2019 8:34,,,
